time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
0.0;videos/cuts_test/50wtf9.mp4;walk;(np.float64(477.5), np.float64(133.88));(np.float64(482.0), np.float64(128.0));(np.float64(475.0), np.float64(124.31));(np.float64(470.0), np.float64(128.0));(np.float64(454.0), np.float64(116.0));(np.float64(457.25), np.float64(166.25));(np.float64(424.75), np.float64(144.38));(np.float64(488.0), np.float64(194.62));(np.float64(405.0), np.float64(115.31));(np.float64(526.5), np.float64(210.62));(np.float64(418.5), np.float64(81.69));(np.float64(411.75), np.float64(263.0));(np.float64(403.0), np.float64(259.5));(np.float64(409.0), np.float64(351.75));(np.float64(435.5), np.float64(348.5));(np.float64(380.25), np.float64(437.25));(np.float64(439.5), np.float64(441.0))
0.04;videos/cuts_test/50wtf9.mp4;walk;(np.float64(479.0), np.float64(135.62));(np.float64(483.25), np.float64(129.88));(np.float64(476.5), np.float64(125.88));(np.float64(471.5), np.float64(129.25));(np.float64(456.0), np.float64(117.31));(np.float64(460.0), np.float64(168.5));(np.float64(425.75), np.float64(143.5));(np.float64(493.0), np.float64(200.5));(np.float64(404.75), np.float64(107.31));(np.float64(529.0), np.float64(219.75));(np.float64(414.25), np.float64(68.06));(np.float64(411.25), np.float64(263.75));(np.float64(401.5), np.float64(258.75));(np.float64(408.0), np.float64(353.5));(np.float64(433.5), np.float64(348.75));(np.float64(379.25), np.float64(437.75));(np.float64(439.75), np.float64(441.0))
0.08;videos/cuts_test/50wtf9.mp4;walk;(np.float64(480.75), np.float64(136.88));(np.float64(485.25), np.float64(131.25));(np.float64(478.25), np.float64(126.75));(np.float64(474.75), np.float64(131.0));(np.float64(458.0), np.float64(117.5));(np.float64(462.25), np.float64(171.12));(np.float64(426.75), np.float64(141.75));(np.float64(493.25), np.float64(205.0));(np.float64(406.25), np.float64(96.81));(np.float64(528.0), np.float64(225.5));(np.float64(413.0), np.float64(52.25));(np.float64(412.0), np.float64(264.5));(np.float64(400.75), np.float64(258.5));(np.float64(408.0), np.float64(353.5));(np.float64(432.5), np.float64(348.5));(np.float64(379.5), np.float64(437.75));(np.float64(439.75), np.float64(441.0))
0.13;videos/cuts_test/50wtf9.mp4;walk;(np.float64(482.5), np.float64(138.5));(np.float64(487.5), np.float64(132.75));(np.float64(480.25), np.float64(128.0));(np.float64(476.75), np.float64(132.25));(np.float64(460.25), np.float64(117.88));(np.float64(462.75), np.float64(173.12));(np.float64(427.25), np.float64(139.62));(np.float64(492.5), np.float64(209.5));(np.float64(407.5), np.float64(88.69));(np.float64(531.5), np.float64(232.88));(np.float64(412.5), np.float64(39.25));(np.float64(412.5), np.float64(265.5));(np.float64(400.0), np.float64(258.5));(np.float64(407.5), np.float64(354.0));(np.float64(431.0), np.float64(349.0));(np.float64(379.5), np.float64(438.25));(np.float64(439.75), np.float64(441.75))
0.17;videos/cuts_test/50wtf9.mp4;walk;(np.float64(485.0), np.float64(140.0));(np.float64(489.75), np.float64(134.12));(np.float64(483.0), np.float64(129.5));(np.float64(478.0), np.float64(133.0));(np.float64(463.0), np.float64(118.56));(np.float64(464.0), np.float64(174.62));(np.float64(428.5), np.float64(138.25));(np.float64(494.25), np.float64(213.38));(np.float64(409.0), np.float64(82.69));(np.float64(534.5), np.float64(239.25));(np.float64(413.75), np.float64(31.25));(np.float64(411.75), np.float64(265.0));(np.float64(399.25), np.float64(257.5));(np.float64(407.0), np.float64(354.5));(np.float64(429.75), np.float64(349.75));(np.float64(379.75), np.float64(438.5));(np.float64(439.0), np.float64(442.25))
0.21;videos/cuts_test/50wtf9.mp4;walk;(np.float64(487.0), np.float64(141.0));(np.float64(491.5), np.float64(134.75));(np.float64(484.5), np.float64(130.25));(np.float64(479.5), np.float64(133.5));(np.float64(465.5), np.float64(119.12));(np.float64(465.0), np.float64(175.62));(np.float64(430.0), np.float64(136.75));(np.float64(495.0), np.float64(216.88));(np.float64(411.75), np.float64(75.06));(np.float64(536.0), np.float64(243.5));(np.float64(417.75), np.float64(25.0));(np.float64(412.0), np.float64(265.5));(np.float64(398.0), np.float64(257.5));(np.float64(407.0), np.float64(354.5));(np.float64(428.25), np.float64(350.0));(np.float64(379.25), np.float64(438.75));(np.float64(438.5), np.float64(442.5))
0.25;videos/cuts_test/50wtf9.mp4;walk;(np.float64(488.75), np.float64(142.0));(np.float64(493.5), np.float64(136.0));(np.float64(486.75), np.float64(131.5));(np.float64(480.5), np.float64(134.5));(np.float64(467.25), np.float64(119.69));(np.float64(465.0), np.float64(175.75));(np.float64(432.0), np.float64(136.38));(np.float64(494.0), np.float64(217.5));(np.float64(414.25), np.float64(74.06));(np.float64(534.0), np.float64(245.5));(np.float64(421.0), np.float64(22.0));(np.float64(410.25), np.float64(265.0));(np.float64(397.5), np.float64(256.5));(np.float64(406.5), np.float64(354.75));(np.float64(427.5), np.float64(349.75));(np.float64(379.25), np.float64(439.0));(np.float64(437.75), np.float64(442.25))
0.29;videos/cuts_test/50wtf9.mp4;walk;(np.float64(489.75), np.float64(142.62));(np.float64(494.5), np.float64(137.0));(np.float64(488.0), np.float64(132.0));(np.float64(481.5), np.float64(135.5));(np.float64(469.25), np.float64(119.75));(np.float64(465.0), np.float64(176.25));(np.float64(434.25), np.float64(136.0));(np.float64(494.5), np.float64(218.25));(np.float64(417.25), np.float64(72.69));(np.float64(534.5), np.float64(246.5));(np.float64(426.25), np.float64(23.0));(np.float64(408.25), np.float64(264.75));(np.float64(399.0), np.float64(256.25));(np.float64(405.75), np.float64(355.25));(np.float64(427.25), np.float64(350.25));(np.float64(379.25), np.float64(439.25));(np.float64(437.75), np.float64(442.75))
0.33;videos/cuts_test/50wtf9.mp4;walk;(np.float64(491.0), np.float64(142.38));(np.float64(495.75), np.float64(136.75));(np.float64(489.5), np.float64(131.62));(np.float64(481.5), np.float64(135.38));(np.float64(470.5), np.float64(119.44));(np.float64(465.75), np.float64(175.88));(np.float64(435.5), np.float64(136.62));(np.float64(496.25), np.float64(218.12));(np.float64(420.0), np.float64(73.06));(np.float64(536.0), np.float64(244.75));(np.float64(430.25), np.float64(23.75));(np.float64(409.5), np.float64(265.5));(np.float64(400.25), np.float64(257.0));(np.float64(405.75), np.float64(355.0));(np.float64(427.5), np.float64(350.5));(np.float64(379.25), np.float64(439.0));(np.float64(437.5), np.float64(443.0))
0.38;videos/cuts_test/50wtf9.mp4;walk;(np.float64(492.25), np.float64(141.75));(np.float64(496.75), np.float64(136.0));(np.float64(490.75), np.float64(131.12));(np.float64(482.25), np.float64(134.38));(np.float64(471.25), np.float64(119.12));(np.float64(467.5), np.float64(174.38));(np.float64(436.75), np.float64(137.25));(np.float64(497.0), np.float64(214.12));(np.float64(421.25), np.float64(74.69));(np.float64(536.0), np.float64(239.5));(np.float64(432.5), np.float64(24.75));(np.float64(412.0), np.float64(266.0));(np.float64(402.0), np.float64(258.0));(np.float64(406.5), np.float64(356.0));(np.float64(429.0), np.float64(350.75));(np.float64(379.25), np.float64(439.25));(np.float64(437.75), np.float64(442.5))
